食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
和生菓子・和半生菓子類まんじゅうくりまんじゅうつぶしあん入り,295,24,6.7,1.6,67,66,160,26,20,87,1.3,0.7,0.17,0.4,3,3,1,39,18,0.3,0.2,5,0.04,0.06,1.3,0.04,0.1,12,0.34,3.5,0,0,0.2
和生菓子・和半生菓子類まんじゅうとうまんじゅうこしあん入り,299,28,6.8,3.1,61.6,25,57,33,13,62,1.2,0.6,0.1,0.3,6,5,1,21,34,0.6,0.3,4,0.03,0.08,1.4,0.02,0.2,10,0.29,4.8,0,0,0.1
和生菓子・和半生菓子類まんじゅうとうまんじゅうつぶしあん入り,294,28,6.9,3.3,61.3,60,140,23,18,84,1.3,0.7,0.15,0.32,6,5,1,33,36,0.6,0.3,6,0.04,0.09,1.6,0.04,0.2,15,0.39,5.3,0,0,0.2
和生菓子・和半生菓子類まんじゅう蒸しまんじゅうこしあん入り,254,35,4.6,0.5,59.5,60,48,33,12,46,1,0.4,0.1,0.33,0,1,1,22,0,0,0,2,0.03,0.02,1.1,0.01,0,2,0.12,1.1,0,0,0.2
和生菓子・和半生菓子類まんじゅう蒸しまんじゅうつぶしあん入り,257,35,4.7,0.7,59.1,95,130,20,16,63,1,0.5,0.14,0.33,0,1,1,32,0,0,0.1,4,0.03,0.02,1.1,0.02,0,7,0.21,1.3,0,0,0.2
和生菓子・和半生菓子類まんじゅう中華まんじゅうあんまんこしあん入り,273,36.6,6.1,5.6,51.3,11,65,58,23,57,1.1,0.6,0.14,0.36,0,7,1,20,0,0,0.1,2,0.08,0.03,1.7,0.04,0,9,0.27,1.4,0,0,0
和生菓子・和半生菓子類まんじゅう中華まんじゅうあんまんつぶしあん入り,279,36.6,6.2,6,51.3,29,110,55,26,67,1.1,0.6,0.17,0.36,0,6,1,26,0,0,0.1,3,0.08,0.03,1.5,0.05,0,12,0.32,1.6,0,0,0.1
和生菓子・和半生菓子類まんじゅう中華まんじゅう肉まん,242,39.5,10,5.1,43.4,460,310,28,20,87,0.8,1.2,0.12,0.45,0,12,1,9,3,0.1,0,9,0.23,0.1,3.9,0.16,0.1,38,0.8,1.9,7,0,1.2
和生菓子・和半生菓子類もなかこしあん入り,277,29,4.9,0.3,65.5,2,32,33,14,41,1.2,0.6,0.12,0.41,0,0,0,34,0,0,0,3,0.01,0.02,1,0,0,1,0.08,1.2,0,0,0
和生菓子・和半生菓子類もなかつぶしあん入り,278,29,6.4,0.7,63.3,59,170,21,25,80,1.6,0.8,0.23,0.49,0,1,1,59,0,0,0.1,6,0.02,0.03,1.2,0.03,0,9,0.23,1.9,0,0,0.2
和生菓子・和半生菓子類ゆべし,321,22,2.4,3.5,71.2,230,62,6,15,41,0.4,0.4,0.11,0.38,0,1,0,18,0,0,0.1,0,0.03,0.02,0.9,0.06,0,8,0.19,0.7,0,0.1,0.6
和生菓子・和半生菓子類ようかん練りようかん,289,26,3.6,0.2,69.9,3,24,33,12,32,1.1,0.4,0.09,0.3,0,0,0,22,0,0,0,3,0.01,0.02,0.7,0,0,1,0.03,0.9,0,0,0
和生菓子・和半生菓子類ようかん水ようかん,168,57,2.6,0.2,39.9,57,17,23,8,23,0.8,0.3,0.06,0.21,0,0,0,16,0,0,0,2,0.01,0.01,0.5,0,0,1,0.02,0.7,0,0,0.1
和生菓子・和半生菓子類ようかん蒸しようかん,237,39.5,4.4,0.3,55.4,83,32,30,13,37,1.1,0.4,0.1,0.32,0,0,1,24,0,0,0,3,0.02,0.02,0.9,0,0,1,0.06,1.1,0,0,0.2
和干菓子類あめ玉,385,2.5,0,0,97.5,1,2,1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
和干菓子類芋かりんとう,465,5.5,1.4,20.6,71.3,13,550,41,28,54,0.7,0.2,0.2,0.47,1,1,0,5,3,0,4.3,35,0.13,0.05,1.2,0.3,0,57,1.03,5.7,33,0,0
